线路,行别,站区,隧道名称,锚段号,杆号,跨距,公里标,导高,拉出值,结构类型,GPS经度,GPS纬度
西环线,下行,乐化普速场,,,,,,,,,,
西环线,下行,乐化普速场-生米,,,Z01,50,0.279,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z03,55,0.328,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z05,50,0.385,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z07,50,0.435,6450,300,硬锚,,
西环线,下行,乐化普速场-生米,,,Z09,50,0.486,6450,200,转换柱,,
西环线,下行,乐化普速场-生米,,,Z11,50,0.538,6450,225/225,锚柱（滑轮补）,,
西环线,下行,乐化普速场-生米,,,Z13,49,0.583,6450,200,,,
西环线,下行,乐化普速场-生米,,,Z15,2.5,0.585,6450,700,转换柱,,
西环线,下行,乐化普速场-生米,,,Z17,48.5,0.633,6450,225/225,锚柱（滑轮补）,,
西环线,下行,乐化普速场-生米,,,Z19,50,0.683,6450,200,,,
西环线,下行,乐化普速场-生米,,,Z21,50,0.733,6450,300,硬锚,,
西环线,下行,乐化普速场-生米,,,Z23,50,0.783,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,Z25,55,0.837,6450,250,转换柱,,
西环线,下行,乐化普速场-生米,,,Z27,55,0.893,6450,250,吸上线,,
西环线,下行,乐化普速场-生米,,,Z29,55,0.957,6450,250,,,
西环线,下行,乐化普速场-生米,,,Z31,55,1.007,6450,250,,,
西环线,下行,乐化普速场-生米,,,Z33,50,1.059,6450,250,,,
西环线,下行,乐化普速场-生米,,,Z35,50,1.102,6450,250,,,
西环线,下行,乐化普速场-生米,,,Z37,50,1.147,6450,100,,,
西环线,下行,乐化普速场-生米,,,Z39,51.77,1.192,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z41,55,1.243,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z43,50,1.293,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z45,55,1.343,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z47,55,1.393,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z49,60,1.443,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z51,60,1.497,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z53,60,1.567,6450,300,,,
西环线,下行,乐化普速场-生米,,,Z55,55,1.619,6450,300,硬锚,,
西环线,下行,乐化普速场-生米,,,Z57,55,1.668,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,Z59,50,1.718,6450,100/300,中心柱,,
西环线,下行,乐化普速场-生米,,,Z61,50,1.768,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,Z63,50,1.82,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,Z65,50,1.873,6450,150,锚柱（棘轮）,,
西环线,下行,乐化普速场-生米,,,Z67,50,1.925,6450,150,,,
西环线,下行,乐化普速场-生米,,,Z69,70,1.975,6450,300,,,
西环线,下行,乐化普速场-生米,,,1,70,2.074,6450,150,,,
西环线,下行,乐化普速场-生米,,,3,55,2.129,6450,150,,,
西环线,下行,乐化普速场-生米,,,5,55,2.194,6450,300,,,
西环线,下行,乐化普速场-生米,,,7,55,2.252,6450,300,,,
西环线,下行,乐化普速场-生米,,,9,65,2.317,6450,300,,,
西环线,下行,乐化普速场-生米,,,11,55,2.372,6450,300,硬锚,,
西环线,下行,乐化普速场-生米,,,13,52,2.424,6450,150,转换柱,,
西环线,下行,乐化普速场-生米,,,15,60,2.484,6450,300/150,中心柱,,
西环线,下行,乐化普速场-生米,,,17,50,2.534,6450,250,转换柱,,
西环线,下行,乐化普速场-生米,,,19,50,2.584,6450,250,锚柱,,
西环线,下行,乐化普速场-生米,,,21,55,2.629,6450,250,,,
西环线,下行,乐化普速场-生米,,,23,50,2.679,6450,250,,,
西环线,下行,乐化普速场-生米,,,25,55,2.734,6450,250,,,
西环线,下行,乐化普速场-生米,,,27,55,2.789,6450,250,吸上线,,
西环线,下行,乐化普速场-生米,,,29,50,2.839,6450,250,,,
西环线,下行,乐化普速场-生米,,,31,55,2.894,6450,250,,,
西环线,下行,乐化普速场-生米,,,33,50,2.944,6450,200,,,
西环线,下行,乐化普速场-生米,,,35,48.35,2.993,6450,150,,,
西环线,下行,乐化普速场-生米,,,37,40,3.033,6450,300,,,
西环线,下行,乐化普速场-生米,,,39,40,3.073,6450,300,,,
西环线,下行,乐化普速场-生米,,,41,46.65,3.119,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,43,50,3.169,6450,300,转换柱,,
西环线,下行,乐化普速场-生米,,,45,50,3.219,6450,300/100,中心柱,,
西环线,下行,乐化普速场-生米,,,47,50,3.269,6450,200,转换柱,,
西环线,下行,乐化普速场-生米,,,49,50,3.319,6450,300,锚柱,,
西环线,下行,乐化普速场-生米,,,51,55,3.374,6450,300,,,
西环线,下行,乐化普速场-生米,,,53,55,3.429,6450,300,,,
西环线,下行,乐化普速场-生米,,,55,55,3.484,6450,300,,,
西环线,下行,乐化普速场-生米,,,57,55,3.539,6450,300,,,
西环线,下行,乐化普速场-生米,,,59,55,3.594,6450,300,,,
西环线,下行,乐化普速场-生米,,,61,55,3.649,6450,300,,,
西环线,下行,乐化普速场-生米,,,63,55,3.704,6450,300,,,
西环线,下行,乐化普速场-生米,,,65,50,3.754,6450,300,,,
西环线,下行,乐化普速场-生米,,,67,50,3.804,6450,300,,,
西环线,下行,乐化普速场-生米,,,69,50,3.854,6450,300,,,
西环线,下行,乐化普速场-生米,,,71,55,3.909,6450,300,,,
西环线,下行,乐化普速场-生米,,,73,55,3.964,6450,300,,,
西环线,下行,乐化普速场-生米,,,75,50,4.014,6450,300,,,
西环线,下行,乐化普速场-生米,,,77,50,4.064,6450,300,,,
西环线,下行,乐化普速场-生米,,,79,45,4.109,6450,300,,,
西环线,下行,乐化普速场-生米,,,81,50,4.159,6450,300,,,
西环线,下行,乐化普速场-生米,,,83,50,4.209,6450,300,,,
西环线,下行,乐化普速场-生米,,,85,50,4.259,6450,300,,,
西环线,下行,乐化普速场-生米,,,87,50,4.309,6450,300,,,
西环线,下行,乐化普速场-生米,,,89,36.75,4.346,6450,300,,,
