线路,行别,站区,隧道名称,锚段号,杆号,跨距,公里标,导高,拉出值,结构类型,GPS经度,GPS纬度
西环线,上行,向塘站,,,,,,,,,,
西环线,上行,生米-向塘,,,XH12,40,58.88,6450,300,锚柱,,
西环线,上行,生米-向塘,,,XH10,40,58.84,6450,300,转换柱,,
西环线,上行,生米-向塘,,,XH08,35,58.8,6450,300/150,中心柱,,
西环线,上行,生米-向塘,,,XH06,40,58.765,6450,150/300,中心柱,,
西环线,上行,生米-向塘,,,XH04,40,58.725,6450,150,转换柱,,
西环线,上行,生米-向塘,,,XH02,40,58.685,6450,300,锚柱,,
西环线,上行,生米-向塘,,,1218,3,58.683,6450,300,,,
西环线,上行,生米-向塘,,,1216,40,58.683,6450,400,,,
西环线,上行,生米-向塘,,,1214,35,58.643,6450,250,,,
西环线,上行,生米-向塘,,,1212,40,58.608,6450,150,,,
西环线,上行,生米-向塘,,,1210,45,58.568,6450,300,,,
西环线,上行,生米-向塘,,,1208,50,58.523,6450,300,,,
西环线,上行,生米-向塘,,,1206,50,58.473,6450,300,,,
西环线,上行,生米-向塘,,,1204,50,58.423,6450,300,,,
西环线,上行,生米-向塘,,,1202,50,58.373,6450,300,吸上线,,
西环线,上行,生米-向塘,,,1200,50.49,58.323,6450,300,,,
西环线,上行,生米-向塘,,,1198,50,58.272,6450,300,,,
西环线,上行,生米-向塘,,,1196,50,58.222,6450,300,,,
西环线,上行,生米-向塘,,,1194,45,58.172,6450,100,,,
西环线,上行,生米-向塘,,,1192,45,58.127,6450,250,,,
西环线,上行,生米-向塘,,,1190,45,58.082,6450,400,,,
西环线,上行,生米-向塘,,,1188,40,58.037,6450,400,,,
西环线,上行,生米-向塘,,,1186,40,57.997,6450,400,,,
西环线,上行,生米-向塘,,,1184,45,57.957,6450,400,,,
西环线,上行,生米-向塘,,,1182,45,57.912,6450,400,,,
西环线,上行,生米-向塘,,,1180,45,57.867,6450,400,,,
西环线,上行,生米-向塘,,,1178,45,57.822,6450,400,锚柱,,
西环线,上行,生米-向塘,,,1176,40,57.777,6450,400,转换柱,,
西环线,上行,生米-向塘,,,1174,40,57.737,6450,150/350,中心柱,,
西环线,上行,生米-向塘,,,1172,50,57.697,6450,200,转换柱,,
西环线,上行,生米-向塘,,,1170,49,57.647,6450,200,锚柱,,
西环线,上行,生米-向塘,,,1168,32.7,57.598,6450,200,,,
西环线,上行,生米-向塘,,,1166,32.71,57.565,6450,200,,,
西环线,上行,生米-向塘,,,1164,32.73,57.533,6450,150,,,
西环线,上行,生米-向塘,,,1162,32.75,57.5,6450,150,,,
西环线,上行,生米-向塘,,,1160,32.76,57.467,6450,250,,,
西环线,上行,生米-向塘,,,1158,32.76,57.434,6450,250,,,
西环线,上行,生米-向塘,,,1156,32.76,57.402,6450,250,,,
西环线,上行,生米-向塘,,,1154,32.76,57.369,6450,250,,,
西环线,上行,生米-向塘,,,1152,32.76,57.336,6450,250,,,
西环线,上行,生米-向塘,,,1150,32.76,57.303,6450,250,,,
西环线,上行,生米-向塘,,,1148,32.76,57.271,6450,250,,,
西环线,上行,生米-向塘,,,1146,32.76,57.238,6450,250,,,
西环线,上行,生米-向塘,,,1144,32.76,57.205,6450,250,,,
西环线,上行,生米-向塘,,,1142,32.76,57.172,6450,250,,,
西环线,上行,生米-向塘,,,1140,32.76,57.14,6450,250,,,
西环线,上行,生米-向塘,,,1138,32.76,57.107,6450,250,,,
西环线,上行,生米-向塘,,,1136,32.76,57.074,6450,250,,,
西环线,上行,生米-向塘,,,1134,32.76,57.041,6450,250,,,
西环线,上行,生米-向塘,,,1132,32.76,57.009,6450,250,,,
西环线,上行,生米-向塘,,,1130,32.76,56.976,6450,250,,,
西环线,上行,生米-向塘,,,1128,32.76,56.943,6450,250,,,
西环线,上行,生米-向塘,,,1126,32.76,56.91,6450,250,,,
西环线,上行,生米-向塘,,,1124,32.76,56.878,6450,250,,,
西环线,上行,生米-向塘,,,1122,32.76,56.845,6450,250,,,
西环线,上行,生米-向塘,,,1120,32.76,56.812,6450,250,,,
西环线,上行,生米-向塘,,,1118,32.76,56.779,6450,250,,,
西环线,上行,生米-向塘,,,1116,32.76,56.746,6450,250,,,
西环线,上行,生米-向塘,,,1114,32.76,56.714,6450,250,,,
西环线,上行,生米-向塘,,,1112,32.76,56.681,6450,250,,,
